Epoch 1: duration loss = 0.791 | prior loss = 1.071 | diffusion loss = 0.096
Epoch 2: duration loss = 0.556 | prior loss = 0.999 | diffusion loss = 0.070
Epoch 3: duration loss = 0.474 | prior loss = 0.991 | diffusion loss = 0.065
Epoch 4: duration loss = 0.442 | prior loss = 0.987 | diffusion loss = 0.064
Epoch 5: duration loss = 0.418 | prior loss = 0.984 | diffusion loss = 0.063
Epoch 6: duration loss = 0.399 | prior loss = 0.982 | diffusion loss = 0.063
Epoch 7: duration loss = 0.385 | prior loss = 0.981 | diffusion loss = 0.061
Epoch 8: duration loss = 0.374 | prior loss = 0.979 | diffusion loss = 0.062
Epoch 9: duration loss = 0.365 | prior loss = 0.978 | diffusion loss = 0.060
Epoch 10: duration loss = 0.356 | prior loss = 0.977 | diffusion loss = 0.061
Epoch 11: duration loss = 0.349 | prior loss = 0.977 | diffusion loss = 0.060
Epoch 12: duration loss = 0.344 | prior loss = 0.976 | diffusion loss = 0.060
Epoch 13: duration loss = 0.338 | prior loss = 0.975 | diffusion loss = 0.058
Epoch 14: duration loss = 0.333 | prior loss = 0.975 | diffusion loss = 0.060
Epoch 15: duration loss = 0.328 | prior loss = 0.974 | diffusion loss = 0.059
Epoch 16: duration loss = 0.323 | prior loss = 0.974 | diffusion loss = 0.058
Epoch 17: duration loss = 0.320 | prior loss = 0.973 | diffusion loss = 0.058
Epoch 18: duration loss = 0.317 | prior loss = 0.973 | diffusion loss = 0.059
Epoch 19: duration loss = 0.313 | prior loss = 0.972 | diffusion loss = 0.059
Epoch 20: duration loss = 0.310 | prior loss = 0.972 | diffusion loss = 0.058
Epoch 21: duration loss = 0.306 | prior loss = 0.971 | diffusion loss = 0.058
Epoch 22: duration loss = 0.304 | prior loss = 0.971 | diffusion loss = 0.057
Epoch 23: duration loss = 0.301 | prior loss = 0.971 | diffusion loss = 0.057
Epoch 24: duration loss = 0.298 | prior loss = 0.970 | diffusion loss = 0.057
Epoch 25: duration loss = 0.296 | prior loss = 0.970 | diffusion loss = 0.058
Epoch 26: duration loss = 0.293 | prior loss = 0.970 | diffusion loss = 0.058
Epoch 27: duration loss = 0.291 | prior loss = 0.970 | diffusion loss = 0.057
Epoch 28: duration loss = 0.288 | prior loss = 0.969 | diffusion loss = 0.057
Epoch 29: duration loss = 0.287 | prior loss = 0.969 | diffusion loss = 0.057
Epoch 30: duration loss = 0.284 | prior loss = 0.969 | diffusion loss = 0.057
Epoch 31: duration loss = 0.282 | prior loss = 0.969 | diffusion loss = 0.058
Epoch 32: duration loss = 0.280 | prior loss = 0.968 | diffusion loss = 0.057
Epoch 33: duration loss = 0.278 | prior loss = 0.968 | diffusion loss = 0.057
Epoch 34: duration loss = 0.276 | prior loss = 0.968 | diffusion loss = 0.057
Epoch 35: duration loss = 0.274 | prior loss = 0.968 | diffusion loss = 0.057
Epoch 36: duration loss = 0.272 | prior loss = 0.967 | diffusion loss = 0.057
Epoch 37: duration loss = 0.271 | prior loss = 0.967 | diffusion loss = 0.056
Epoch 38: duration loss = 0.269 | prior loss = 0.967 | diffusion loss = 0.056
Epoch 39: duration loss = 0.268 | prior loss = 0.967 | diffusion loss = 0.055
Epoch 40: duration loss = 0.266 | prior loss = 0.967 | diffusion loss = 0.057
Epoch 41: duration loss = 0.264 | prior loss = 0.966 | diffusion loss = 0.056
Epoch 42: duration loss = 0.263 | prior loss = 0.966 | diffusion loss = 0.056
Epoch 43: duration loss = 0.261 | prior loss = 0.966 | diffusion loss = 0.056
Epoch 44: duration loss = 0.260 | prior loss = 0.966 | diffusion loss = 0.055
Epoch 45: duration loss = 0.258 | prior loss = 0.966 | diffusion loss = 0.055
Epoch 46: duration loss = 0.256 | prior loss = 0.966 | diffusion loss = 0.056
Epoch 47: duration loss = 0.255 | prior loss = 0.965 | diffusion loss = 0.056
Epoch 48: duration loss = 0.254 | prior loss = 0.965 | diffusion loss = 0.056
Epoch 49: duration loss = 0.252 | prior loss = 0.965 | diffusion loss = 0.057
Epoch 50: duration loss = 0.251 | prior loss = 0.965 | diffusion loss = 0.056
Epoch 51: duration loss = 0.250 | prior loss = 0.965 | diffusion loss = 0.056
Epoch 52: duration loss = 0.249 | prior loss = 0.965 | diffusion loss = 0.056
